ControlId,Titre,Description,Objectif,Procédure,ResultatAttendu,Severite,Remediation,ReferencePages,Type,Categorie,Commandes,Notes
1.1,S'assurer que les dernières mises à jour cumulatives et correctifs de sécurité sont installés,Les correctifs de SQL Server contiennent des mises à jour importantes corrigeant les failles de sécurité et les bugs fonctionnels.,Garantir la protection contre les vulnérabilités publiques connues.,"SELECT SERVERPROPERTY('ProductLevel') as SP_installed, SERVERPROPERTY('ProductVersion') as Version, SERVERPROPERTY('ProductUpdateLevel') as 'ProductUpdate_Level', SERVERPROPERTY('ProductUpdateReference') as 'KB_Number';",La version et le niveau de patch doivent être conformes à la politique de l'entreprise (derniers correctifs installés).,Medium,Identifier la dernière mise à jour cumulative (CU) de SQL Server 2022 et l'appliquer après validation dans l'environnement de test.,p.16,processus,Système/OS,"SELECT SERVERPROPERTY('ProductLevel') as SP_installed, SERVERPROPERTY('ProductVersion') as Version, SERVERPROPERTY('ProductUpdateLevel') as 'ProductUpdate_Level', SERVERPROPERTY('ProductUpdateReference') as 'KB_Number';",Manual
1.2,S'assurer d'utiliser des serveurs dédiés à fonction unique (Single-Function),SQL Server doit être installé sur un serveur dédié n'hébergeant aucun autre rôle majeur (comme serveur web ou contrôleur de domaine).,Réduire la surface d'attaque globale et simplifier la configuration des ports et pare-feux.,Vérifier la liste des fonctionnalités et rôles installés sur le système d'exploitation hôte.,Seul le service SQL Server et les agents d'exploitation nécessaires s'exécutent.,Medium,Désinstaller tous les rôles superflus ou migrer SQL Server vers une instance dédiée virtuelle ou physique.,p.18,configuration,Système/OS,,Manual
2.1,S'assurer que l'option de configuration 'Ad Hoc Distributed Queries' est définie sur '0',L'activation de cette option permet aux utilisateurs d'exécuter des requêtes distribuées et d'accéder à des sources de données externes.,Empêcher l'exécution de requêtes arbitraires et non sécurisées vers des serveurs tiers.,"SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'Ad Hoc Distributed Queries';",La valeur configurée (value_configured) et la valeur active (value_in_use) doivent être égales à 0.,High,"EXECUTE sp_configure 'show advanced options', 1; RECONFIGURE; EXECUTE sp_configure 'Ad Hoc Distributed Queries', 0; RECONFIGURE; EXECUTE sp_configure 'show advanced options', 0; RECONFIGURE;",p.21,configuration,Base de données,"SELECT name, value_configured, value_in_use FROM sys.configurations WHERE name = 'Ad Hoc Distributed Queries';",Automated
2.2,S'assurer que l'option de configuration 'CLR Enabled' est définie sur '0',L'option 'CLR Enabled' permet de charger et d'exécuter des assemblys .NET (Common Language Runtime) personnalisés.,Restreindre l'exécution de code externe non géré au sein du moteur SQL Server.,"SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'clr enabled';",Les deux valeurs configurée et active doivent être égales à 0.,Medium,"EXECUTE sp_configure 'clr enabled', 0; RECONFIGURE;",p.23,configuration,Base de données,"SELECT name, value_configured, value_in_use FROM sys.configurations WHERE name = 'clr enabled';",Automated
2.3,S'assurer que l'option 'Cross DB Ownership Chaining' est désactivée (définie sur '0'),Le chaînage de propriété inter-bases permet de lier la sécurité d'objets situés dans des bases de données distinctes.,Prévenir l'élévation de privilèges non autorisée entre bases de données.,"SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'cross db ownership chaining';",La valeur active et la valeur configurée doivent être égales à 0.,High,"EXECUTE sp_configure 'cross db ownership chaining', 0; RECONFIGURE;",p.26,configuration,Base de données,"SELECT name, value_configured, value_in_use FROM sys.configurations WHERE name = 'cross db ownership chaining';",Automated
2.4,S'assurer que l'option de configuration 'Database Mail XPs' est définie sur '0',Database Mail permet l'envoi de courriels directement depuis le moteur de base de données.,Éliminer un vecteur d'attaque de type déni de service ou d'exfiltration furtive de données par e-mail.,"SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'Database Mail XPs';",Les deux colonnes de configuration et d'usage doivent afficher la valeur 0.,Medium,"EXECUTE sp_configure 'show advanced options', 1; RECONFIGURE; EXECUTE sp_configure 'Database Mail XPs', 0; RECONFIGURE; EXECUTE sp_configure 'show advanced options', 0; RECONFIGURE;",p.28,configuration,Base de données,"SELECT name, value_configured, value_in_use FROM sys.configurations WHERE name = 'Database Mail XPs';",Automated
2.5,S'assurer que l'option de configuration 'Ole Automation Procedures' est définie sur '0',"Cette fonctionnalité permet d'instancier des objets OLE Automation externes (ActiveX, composants COM) au sein de lots Transact-SQL.",Limiter la surface d'attaque en interdisant au moteur de base de données d'interagir avec l'OS via des interfaces COM.,"SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'Ole Automation Procedures';",Les deux colonnes de configuration et d'usage doivent être à 0.,High,"EXECUTE sp_configure 'show advanced options', 1; RECONFIGURE; EXECUTE sp_configure 'Ole Automation Procedures', 0; RECONFIGURE; EXECUTE sp_configure 'show advanced options', 0; RECONFIGURE;",p.30,configuration,Base de données,"SELECT name, value_configured, value_in_use FROM sys.configurations WHERE name = 'Ole Automation Procedures';",Automated
2.6,S'assurer que l'option de configuration 'Remote Access' est définie sur '0',L'option Remote Access permet de lancer des procédures stockées locales sur des serveurs distants ou vice versa.,Prévenir les attaques par rebond de privilèges et de déni de service (DoS).,"SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'remote access';",Les valeurs de configuration et d'usage doivent afficher la valeur 0.,Medium,"EXECUTE sp_configure 'show advanced options', 1; RECONFIGURE; EXECUTE sp_configure 'remote access', 0; RECONFIGURE; EXECUTE sp_configure 'show advanced options', 0; RECONFIGURE; -- Note: nécessite un redémarrage",p.32,configuration,Base de données,"SELECT name, value_configured, value_in_use FROM sys.configurations WHERE name = 'remote access';",Automated
2.7,S'assurer que l'option 'Remote Admin Connections' est définie sur '0' pour les serveurs non clusterisés,L'accès administrateur distant dédié (DAC) permet aux administrateurs de se connecter à SQL Server lors de blocages sévères.,"Désactiver l'accès DAC à distance si le serveur n'est pas configuré en haute disponibilité (cluster), limitant l'accès au local.","SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'remote admin connections' AND SERVERPROPERTY('IsClustered') = 0;",Les valeurs configurées et actives doivent afficher 0 si IsClustered renvoie 0 (non-cluster).,Medium,"EXECUTE sp_configure 'remote admin connections', 0; RECONFIGURE;",p.34,configuration,Base de données,"SELECT name, value_configured, value_in_use FROM sys.configurations WHERE name = 'remote admin connections';",Automated
2.8,S'assurer que l'option 'Scan For Startup Procs' est définie sur '0',Cette option force SQL Server à rechercher et exécuter automatiquement toutes les procédures stockées configurées pour s'exécuter au démarrage.,Empêcher le démarrage furtif de scripts malveillants ou backdoors à l'initialisation de l'instance.,"SELECT name, CAST(value as int) as value_configured, CAST(value_in_use as int) as value_in_use FROM sys.configurations WHERE name = 'scan for startup procs';",La valeur active et la valeur configurée doivent s'élever à 0.,Medium,"EXECUTE sp_configure 'show advanced options', 1; RECONFIGURE; EXECUTE sp_configure 'scan for startup procs', 0; RECONFIGURE; EXECUTE sp_configure 'show advanced options', 0; RECONFIGURE;",p.36,configuration,Base de données,"SELECT name, value_configured, value_in_use FROM sys.configurations WHERE name = 'scan for startup procs';",Automated
